cause_of_death,category_human,train_test
other specified interstitial pulmonary diseases,pulmonary disease,train
other specified intervertebral disc degeneration,none,train
other specified intervertebral disc displacement,none,train
other specified intestinal infections,none,train
other specified intestinal obstruction of newborn,none,train
other specified leukaemias,none,test
other specified local infections of skin and subcutaneous tissue,none,test
other specified malignant neoplasms of lymphoid haematopoietic and related tissue,none,train
other specified metabolic disorders,none,train
other specified misadventures during surgical and medical care,none,train
other specified mononeuropathies,none,train
other specified mycoses,none,test
other specified myoneural disorders,none,train
other specified myopathies,none,train
other specified necrotizing vasculopathies,none,train
other specified neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,none,test
other specified noninfective disorders of lymphatic vessels and lymph nodes,none,train
other specified noninfective gastroenteritis and colitis,none,test
other specified noninflammatory disorders of cervix uteri,none,train
other specified noninflammatory disorders of uterus,none,train
other specified noninflammatory disorders of vagina,none,train
other specified nontoxic goitre,none,train
other specified nutritional deficiencies,none,test
other specified osteochondrodysplasias,none,test
other specified paralytic syndromes,none,train
other specified perinatal digestive system disorders,none,train
other specified peripheral vascular diseases,none,test
other specified pleural conditions,none,train
other specified polyneuropathies,none,train
other specified pregnancy-related conditions,none,test
other specified puerperal infections,none,test
other specified pulmonary heart diseases,none,train
other specified renal tubulo-interstitial diseases,none,train
other specified respiratory conditions of newborn,none,train
other specified respiratory disorders,none,train
other specified rheumatoid arthritis,none,train
other specified sepsis,none,train
other specified soft tissue disorders,none,train
other specified spirochaetal infections,none,train
other specified spondylopathies,none,test
other specified symptoms and signs involving the circulatory and respiratory systems,none,train
other specified symptoms and signs involving the digestive system and abdomen,none,test
other specified systemic anti-infectives and antiparasitics,none,train
other specified systemic involvement of connective tissue,none,train
other specified trisomies and partial trisomies of autosomes,none,train
other specified types of non-hodgkin lymphoma,none,test
other specified vaccines and biological substances,none,train
other specified viral diseases,none,test
other specified viral encephalitis,none,train
other specified zoonotic bacterial diseases not elsewhere classified,none,test
other sphingolipidosis,none,train
other spinal muscular atrophies and related syndromes,none,train
other spondylosis,none,train
other spondylosis with myelopathy,none,train
other spontaneous pneumothorax,none,test
other status epilepticus,none,train
other streptococcal arthritis and polyarthritis,none,train
other streptococcal sepsis,none,test
other subarachnoid haemorrhage,cerebrovascular disease,train
other surgical procedures,none,train
other symptomatic late syphilis,none,train
other symptoms and signs concerning food and fluid intake,none,train
other symptoms and signs involving appearance and behaviour,none,train
other systemic antibiotics,none,test
other thrombophilia,none,test
other thyrotoxicosis,none,train
other transient cerebral ischaemic attacks and related syndromes,cerebrovascular disease,train
other tricuspid valve diseases,none,test
other tuberculosis of nervous system,none,train
other types of follicular lymphoma,none,train
other ulcerative colitis,none,train
other uterine inertia,none,train
other variants of turner syndrome,none,train
other vascular dementia,cerebrovascular disease,train
other vascular disorders of intestine,none,test
other vincent infections,none,test
other viral enteritis,none,train
other viral infections of unspecified site,none,test
other viral pneumonia,none,train
otitis externa unspecified,none,train
otitis media unspecified,none,train
otorhinolaryngological drugs and preparations,none,test
paget disease of bone unspecified,none,train
paget disease of other bones,none,test
paget disease of skull,none,train
pain in joint,none,train
pain in limb,none,test
palmar fascial fibromatosis [dupuytren],none,test
panic disorder [episodic paroxysmal anxiety],none,train
panlobular emphysema,pulmonary disease,train
panniculitis unspecified,none,train
papovavirus infection unspecified site,none,train
parachutist injured in air transport accident,none,train
parainfluenza virus pneumonia,none,train
paralysis of vocal cords and larynx,none,train
paralytic ileus,none,train
paralytic syndrome unspecified,none,train
paranoid personality disorder,none,train
paranoid schizophrenia,none,train
paraplegia unspecified,none,test
parenteral anaesthetics,none,test
paroxysmal atrial fibrillation from 2014 onwards,none,train
paroxysmal nocturnal haemoglobinuria [marchiafava-micheli],none,train
partial anomalous pulmonary venous connection,none,train
parvovirus infection unspecified site,none,train
passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,none,train
passenger injured in collision with other and unspecified motor vehicles in traffic accident,none,train
passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident,none,train
passenger of special agricultural vehicle injured in traffic accident,none,train
passenger of special construction vehicle injured in nontraffic accident,none,test
pasteurellosis,none,train
patau syndrome unspecified,none,test
patent ductus arteriosus,none,test
pathological dislocation and subluxation of joint not elsewhere classified,none,train
pathological fracture not elsewhere classified,none,test
pectus excavatum,none,train
pedal cyclist [any] injured in other specified transport accidents,none,test
pedal cyclist [any] injured in unspecified nontraffic accident,none,train
pedal cyclist [any] injured in unspecified traffic accident,none,test
pedal cyclist injured in collision with car pick-up truck or van driver injured in traffic accident,none,train
pedal cyclist injured in collision with car pick-up truck or van passenger injured in traffic accident,none,test
pedal cyclist injured in collision with car pick-up truck or van unspecified pedal cyclist injured in traffic accident,none,train
pedal cyclist injured in collision with fixed or stationary object driver injured in nontraffic accident,none,test
pedal cyclist injured in collision with fixed or stationary object driver injured in traffic accident,none,train
pedal cyclist injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none,train
pedal cyclist injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none,train
pedal cyclist injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,train
pedal cyclist injured in collision with other pedal cycle driver injured in nontraffic accident,none,train
pedal cyclist injured in collision with other pedal cycle driver injured in traffic accident,none,test
pedal cyclist injured in collision with pedestrian or animal driver injured in traffic accident,none,test
pedal cyclist injured in collision with railway train or railway vehicle driver injured in traffic accident,none,train
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in nontraffic accident,none,train
pedal cyclist injured in collision with two- or three-wheeled motor vehicle driver injured in traffic accident,none,train
pedal cyclist injured in collision with two- or three-wheeled motor vehicle passenger injured in traffic accident,none,test
pedal cyclist injured in noncollision transport accident driver injured in nontraffic accident,none,train
pedal cyclist injured in noncollision transport accident driver injured in traffic accident,none,train
pedal cyclist injured in noncollision transport accident passenger injured in nontraffic accident,none,test
pedal cyclist injured in noncollision transport accident passenger injured in traffic accident,none,train
pedal cyclist injured in noncollision transport accident unspecified pedal cyclist injured in nontraffic accident,none,train
pedal cyclist injured in noncollision transport accident unspecified pedal cyclist injured in traffic accident,none,train
pedestrian injured in collision with car pick-up truck or van nontraffic accident,none,test
pedestrian injured in collision with car pick-up truck or van traffic accident,none,train
pedestrian injured in collision with car pick-up truck or van unspecified whether traffic or nontraffic accident,none,test
pedestrian injured in collision with heavy transport vehicle or bus nontraffic accident,none,train
pedestrian injured in collision with heavy transport vehicle or bus traffic accident,none,test
pedestrian injured in collision with other nonmotor vehicle nontraffic accident,none,train
pedestrian injured in collision with other nonmotor vehicle traffic accident,none,train
pedestrian injured in collision with other nonmotor vehicle unspecified whether traffic or nontraffic accident,none,train
pedestrian injured in collision with pedal cycle nontraffic accident,none,train
pedestrian injured in collision with pedal cycle traffic accident,none,train
pedestrian injured in collision with railway train or railway vehicle nontraffic accident,none,train
pedestrian injured in collision with railway train or railway vehicle traffic accident,none,test
pedestrian injured in collision with railway train or railway vehicle unspecified whether traffic or nontraffic accident,none,train
pedestrian injured in collision with two- or three-wheeled motor vehicle traffic accident,none,test
pedestrian injured in nontraffic accident involving other and unspecified motor vehicles,none,train
pedestrian injured in traffic accident involving other and unspecified motor vehicles,none,test
pedestrian injured in unspecified nontraffic accident,none,train
pedestrian injured in unspecified traffic accident,none,train
pedestrian injured in unspecified transport accident,none,train
peliosis hepatis,none,train
pemphigoid unspecified,none,train
pemphigus erythematosus,none,train
pemphigus foliaceus,none,train
pemphigus unspecified,none,train
pemphigus vulgaris,none,test
penicillins,none,train
peptic ulcer site unspecified acute with haemorrhage,none,train
peptic ulcer site unspecified acute with perforation,none,train
peptic ulcer site unspecified acute without haemorrhage or perforation,none,train
peptic ulcer site unspecified chronic or unspecified with both haemorrhage and perforation,none,train
peptic ulcer site unspecified chronic or unspecified with haemorrhage,none,train
peptic ulcer site unspecified chronic or unspecified with perforation,none,train
peptic ulcer site unspecified chronic without haemorrhage or perforation,none,test
peptic ulcer site unspecified unspecified as acute or chronic without haemorrhage or perforation,none,test
perforation of bile duct,none,train
perforation of gallbladder,none,train
perforation of intestine nontraumatic,none,train
perforation of oesophagus,none,train
perianal venous thrombosis from 2014 onwards - previously in i84,none,train
periapical abscess without sinus,none,train
pericardial effusion noninflammatory,none,train
perinatal intestinal perforation,none,train
periodic paralysis,none,train
periodontal disease unspecified,none,train
periodontosis,none,train
peripheral arteriovenous malformation,none,train
peripheral t-cell lymphoma not classified,none,train
peripheral vascular disease unspecified,none,train
peritoneal adhesions,none,train
peritonitis unspecified,none,test
persistant atrial fibrillation from 2014 onwards,none,test
persistent delusional disorder unspecified,none,train
persistent fetal circulation,none,train
person injured in collision between car and bus traffic,none,test
person injured in collision between car and heavy transport vehicle traffic,none,test
person injured in collision between car and pick-up truck or van traffic,none,train
person injured in collision between car and two- or three-wheeled motor vehicle traffic,none,train
person injured in collision between heavy transport vehicle and bus traffic,none,train
person injured in collision between other motor vehicle and two- or three-wheeled motor vehicle traffic,none,train
person injured in collision between other specified motor vehicles nontraffic,none,train
person injured in collision between other specified motor vehicles traffic,none,test
person injured in collision between railway train or railway vehicle and car traffic,none,train
person injured in other specified collisionnoncollision transport accidents involving nonmotor vehicle traffic,none,train
person injured in other specified noncollision transport accidents involving motor vehicle traffic,none,train
person injured in unspecified motor-vehicle accident traffic,none,train
person injured in unspecified nonmotor-vehicle accident nontraffic,none,train
person injured in unspecified vehicle accident,none,test
person injured while boarding or alighting from railway train or railway vehicle,none,train
person injured while boarding or alighting from special agricultural vehicle,none,train
person injured while boarding or alighting from special industrial vehicle,none,test
person injured while boarding or alighting from streetcar,none,train
person on ground injured in air transport accident,none,train
person on outside of all-terrain or other off-road motor vehicle injured in traffic accident,none,train
person on outside of special agricultural vehicle injured in nontraffic accident,none,test
person on outside of special agricultural vehicle injured in traffic accident,none,train
person on outside of special construction vehicle injured in nontraffic accident,none,train
person on outside of special industrial vehicle injured in nontraffic accident,none,train
personality disorder unspecified,none,test
pertussis vaccine including combinations with a pertussis component,none,train
petrositis,none,train
phakomatosis unspecified,none,test
pharyngeal pouch,none,test
phlebitis and thrombophlebitis of femoral vein,none,test
phlebitis and thrombophlebitis of lower extremities unspecified,none,test
phlebitis and thrombophlebitis of other deep vessels of lower extremities,none,train
phlebitis and thrombophlebitis of other sites,none,train
phlebitis and thrombophlebitis of unspecified site,none,test
phlebitis of portal vein,none,train
pilonidal cyst with abscess,none,train
pilonidal cyst without abscess,none,train
pityriasis rubra pilaris,none,train
placenta praevia with haemorrhage,none,train
plasma cell leukaemia,none,train
plasma substitutes,none,train
plasmodium falciparum malaria unspecified,none,test
plasmodium falciparum malaria with cerebral complications,none,train
pleural condition unspecified,none,train
pleural plaque with presence of asbestos,none,train
pleural plaque without asbestos,none,train
pleurisy,none,train
pneumococcal meningitis,none,train
pneumoconiosis due to other dust containing silica,none,train
pneumoconiosis due to other specified inorganic dusts,none,train
pneumoconiosis due to talc dust,none,train
pneumocystosis,none,train
pneumonia due to escherichia coli,none,test
pneumonia due to klebsiella pneumoniae,none,train
pneumonia due to mycoplasma pneumoniae,none,train
pneumonia due to other aerobic gram-negative bacteria,none,train
pneumonia due to other specified infectious organisms,none,train
pneumonia due to other streptococci,none,test
pneumonia due to pseudomonas,none,train
pneumonia due to staphylococcus,none,train
pneumonia in parasitic diseases,none,train
pneumonia unspecified,pulmonary disease,train
pneumonitis due to food and vomit,none,train
pneumonitis due to oils and essences,none,train
pneumothorax originating in the perinatal period,none,train
pneumothorax unspecified,none,train
polyarteritis nodosa,none,test
polyarteritis with lung involvement [churg-strauss],none,train
polyarthritis unspecified,none,train
polyarthrosis unspecified,none,test
polyclonal hypergammaglobulinaemia,none,train
polycystic kidney autosomal dominant,none,train
polycystic kidney autosomal recessive,none,train
polycystic kidney unspecified,none,train
polydactyly unspecified,none,train
polymyalgia rheumatica,none,test
polymyositis,none,train
polyneuropathy due to other toxic agents,none,train
polyneuropathy unspecified,none,train
polyostotic fibrous dysplasia,none,train
polyp of colon,none,train
polyp of corpus uteri,none,train
polyp of female genital tract unspecified,none,train
polyp of stomach and duodenum,none,train
polyp of vocal cord and larynx,none,train
porphyria cutanea tarda,none,train
portal hypertension,none,test
portal vein-hepatic artery fistula,none,test
post-traumatic arthrosis of other joints,none,train
postconcussional syndrome,none,train
postmenopausal atrophic vaginitis,none,train
postmenopausal bleeding,none,train
postpartum coagulation defects,none,train
postpartum inversion of uterus,none,train
postprocedural renal failure,none,test
postviral fatigue syndrome,none,train
pre-eclampsia unspecified,none,test
pre-excitation syndrome,none,train
pre-existing hypertensive heart and renal disease complicating pregnancy childbirth and the puerperium,none,test
predominantly allergic asthma,pulmonary disease,train
predominantly obsessional thoughts or ruminations,none,test
pregnancy-related condition unspecified,none,train
premature rupture of membranes unspecified,none,train
premature separation of placenta unspecified,none,test
prepatellar bursitis,none,test
presbyopia,none,train
primary adrenocortical insufficiency,none,train
primary angle-closure glaucoma,none,train
primary atelectasis of newborn,none,test
primary biliary cirrhosis,none,train
primary cutaneous cd30-positive t-cell proliferations,none,test
primary disorder of muscle unspecified,none,train
primary hyperaldosteronism,none,train
primary hyperparathyroidism,none,train
primary open-angle glaucoma,none,train
primary pulmonary hypertension,none,train
primary respiratory tuberculosis without mention of bacteriological or histological confirmation,none,train
primary thrombophilia,none,train
progressive external ophthalmoplegia,none,train
progressive multifocal leukoencephalopathy,none,train
progressive supranuclear ophthalmoplegia [steele-richardson-olszewski],none,train
progressive systemic sclerosis,none,train
progressive vascular leukoencephalopathy,cerebrovascular disease,train
prolymphocytic leukaemia of b-cell type,none,train
prolymphocytic leukaemia of t-cell type,none,train
propionic acid derivatives,none,train
prostatocystitis,none,train
protrusio acetabuli,none,train
prune belly syndrome,none,train
prurigo nodularis,none,train
pseudocyst of pancreas,none,train
pseudosarcomatous fibromatosis,none,train
psoriasis unspecified,none,test
psoriasis vulgaris,none,train
psychodysleptics [hallucinogens],none,train
psychostimulants with abuse potential,none,test
pulmonary actinomycosis,none,test
pulmonary candidiasis,none,train
pulmonary collapse,pulmonary disease,train
pulmonary cryptococcosis,none,train
pulmonary embolism with mention of acute cor pulmonale,none,train
pulmonary embolism without mention of acute cor pulmonale,none,test
pulmonary heart disease unspecified,none,test
pulmonary histoplasmosis capsulati unspecified,none,train
pulmonary infundibular stenosis,none,train
pulmonary mucormycosis,none,train
pulmonary mycobacterial infection,none,train
pulmonary nocardiosis,none,test
pulmonary toxoplasmosis,none,test
pulmonary valve atresia,none,train
pulmonary valve disorder unspecified,none,train
pulmonary valve insufficiency,none,test
pulmonary valve stenosis,none,train
pulmonary valve stenosis with insufficiency,none,train
pure hypercholesterolaemia,none,train
pure hyperglyceridaemia,none,test
purulent endophthalmitis,none,test
pustulosis palmaris et plantaris,none,test
pyoderma,none,train
pyogenic arthritis unspecified,none,train
pyogenic granuloma,none,train
pyonephrosis,none,train
pyothorax with fistula,none,train
pyothorax without fistula,none,train
pyridoxine deficiency,none,test
qualitative platelet defects,none,test
rabies unspecified,none,test
radiation proctitis,none,train
radiculopathy,none,train
radiological procedure and radiotherapy,none,train
rapidly progressive nephritic syndrome diffuse crescentic glomerulonephritis,none,train
rapidly progressive nephritic syndrome unspecified,none,test
raynaud syndrome,none,train
re-entry ventricular arrhythmia,none,test
reaction to severe stress unspecified,none,train
reactive perforating collagenosis,none,train
rectal abscess,none,test
rectal fistula,none,test
rectal polyp,none,test
rectal prolapse,none,train
recurrent and persistent haematuria diffuse membranous glomerulonephritis,none,train
recurrent and persistent haematuria other,none,train
recurrent depressive disorder current episode severe without psychotic symptoms,none,test
recurrent depressive disorder unspecified,none,train
recurrent dislocation and subluxation of joint,none,train
refractory anaemia unspecified,none,train
refractory anaemia with excess of blasts,none,test
refractory anaemia with excess of blasts with transformation - from 2008 classification,none,train
refractory anaemia with ringed sideroblasts,none,train
refsum disease,none,train
removal of other organ partial total,none,train
renal agenesis unilateral,none,test
renal agenesis unspecified,none,train
renal and perinephric abscess,none,train
renal dysplasia,none,train
renal hypoplasia bilateral,none,train
renal hypoplasia unspecified,none,test
renal osteodystrophy,none,test
renal tubulo-interstitial disease unspecified,none,test
residual schizophrenia,none,train
respiratory arrest,none,test
respiratory condition of newborn unspecified,none,train
respiratory conditions due to unspecified external agent,none,train
respiratory disorder unspecified,none,train
respiratory distress syndrome of newborn,none,train
respiratory failure of newborn,none,test
respiratory failure unspecified,pulmonary disease,train
respiratory infections not elsewhere classified,none,train
respiratory syncytial virus pneumonia,none,train
respiratory tuberculosis unspecified without mention of bacteriological or histological confirmation,none,test
retinal haemorrhage,none,train
retroperitoneal fibrosis,none,train
retropharyngeal and parapharyngeal abscess,none,test
retrovirus infections not elsewhere classified,none,train
rett syndrome,none,train
reye syndrome,none,train
rh isoimmunization of fetus and newborn,none,train
rheumatic aortic insufficiency,none,train
rheumatic aortic stenosis,none,train
rheumatic aortic valve disease unspecified,none,test
rheumatic chorea without heart involvement,none,train
rheumatic diseases of endocardium valve unspecified,none,train
rheumatic heart disease unspecified,none,train
rheumatic mitral insufficiency,none,train
rheumatic myocarditis,none,train
rheumatism unspecified,none,train
rheumatoid arthritis unspecified,none,train
rheumatoid arthritis with involvement of other organs and systems,none,train
rheumatoid lung disease,pulmonary disease,test
rheumatoid nodule,none,test
rheumatoid vasculitis,none,test
rhinocerebral mucormycosis,none,test
rickets active,none,train
rickettsiosis unspecified,none,train
rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident,none,train
rider or occupant injured in collision with car pick-up truck van heavy transport vehicle or bus,none,train
rider or occupant injured in collision with fixed or stationary object,none,test
rider or occupant injured in other and unspecified transport accidents,none,test
right fascicular block,none,train
rotaviral enteritis,none,test
rubella without complication,none,train
rupture of artery,none,train
rupture of bladder nontraumatic,none,train
rupture of chordae tendineae not elsewhere classified,none,train
rupture of papillary muscle not elsewhere classified,none,train
rupture of uterus before onset of labour,none,train
rupture of uterus during labour,none,train
sacral spina bifida without hydrocephalus,none,train
salicylates,none,test
salmonella enteritis,none,train
salmonella infection unspecified,none,train
salmonella sepsis,none,test
salpingitis and oophoritis unspecified,none,train
sarcoidosis of lung,none,train
sarcoidosis of lymph nodes,none,train
sarcoidosis of other and combined sites,none,test
sarcoidosis unspecified,none,train
sarcoma of dendritic cells accessory cells,none,train
scar conditions and fibrosis of skin,none,train
schistosomiasis due to schistosoma haematobium [urinary schistosomiasis],none,test
schizoaffective disorder mixed type,none,train
schizoaffective disorder unspecified,none,train
schizoid personality disorder,none,train
schizophrenia unspecified,none,train
sciatica,none,train
scoliosis unspecified,none,train
seborrhoeic dermatitis unspecified,none,train
secondary and unspecified malignant neoplasm inguinal and lower limb lymph nodes,none,train
secondary and unspecified malignant neoplasm intra-abdominal lymph nodes,none,train
secondary and unspecified malignant neoplasm lymph node unspecified,none,test
secondary and unspecified malignant neoplasm lymph nodes of head face and neck,none,test
secondary biliary cirrhosis,none,train
secondary hypertension unspecified,none,train
secondary malignant neoplasm of bladder and other and unspecified urinary organs,bladder cancer,train
secondary malignant neoplasm of bone and bone marrow,none,test
secondary malignant neoplasm of brain and cerebral meninges,none,test
secondary malignant neoplasm of large intestine and rectum,colorectal cancer,train
secondary malignant neoplasm of liver and intrahepatic bile duct,none,train
secondary malignant neoplasm of lung,lung cancer,train
secondary malignant neoplasm of mediastinum,none,train
secondary malignant neoplasm of other and unspecified digestive organs,none,test
secondary malignant neoplasm of other and unspecified parts of nervous system,none,train
secondary malignant neoplasm of other specified sites,none,test
secondary malignant neoplasm of ovary,none,train
secondary malignant neoplasm of pleura,none,train
secondary malignant neoplasm of retroperitoneum and peritoneum,none,train
secondary malignant neoplasm of skin,none,train
secondary malignant neoplasm unspecified site,none,train
secondary parkinsonism unspecified,none,train
secondary polycythaemia,none,train
secondary systemic amyloidosis,none,train
secondary thrombocytopenia,none,test
selective deficiency of immunoglobulin a [iga],none,train
selective deficiency of immunoglobulin g [igg] subclasses,none,train
senile degeneration of brain not elsewhere classified,none,train
sepsis due to anaerobes,none,train
sepsis due to haemophilus influenzae,none,train
sepsis due to other gram-negative organisms,none,train
sepsis due to other specified staphylococcus,none,train
sepsis due to staphylococcus aureus,none,test
sepsis due to streptococcus group a,none,test
sepsis due to streptococcus group b,none,train
sepsis due to streptococcus group d,none,train
sepsis due to streptococcus pneumoniae,none,train
sepsis due to unspecified staphylococcus,none,test
sepsis of newborn due to escherichia coli,none,test
sepsis of newborn due to other and unspecified staphylococci,none,train
sepsis of newborn due to other and unspecified streptococci,none,train
sepsis of newborn due to staphylococcus aureus,none,train
sepsis of newborn due to streptococcus group b,none,train
sepsis unspecified,none,test
septo-optic dysplasia,none,train
sequelae of adverse effects caused by drugs medicaments and biological substances in therapeutic use,none,train
sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use,none,train
sequelae of assault,none,train
sequelae of central nervous system tuberculosis,none,train
sequelae of cerebral infarction,cerebrovascular disease,train
sequelae of events of undetermined intent,none,train
sequelae of intentional self-harm,none,train
sequelae of intracerebral haemorrhage,cerebrovascular disease,test
sequelae of misadventures to patients during surgical and medical procedures,none,train
sequelae of motor-vehicle accident,none,train
sequelae of other and unspecified cerebrovascular diseases,cerebrovascular disease,test
sequelae of other and unspecified transport accidents,none,test
sequelae of other nontraumatic intracranial haemorrhage,cerebrovascular disease,train
sequelae of other specified infectious and parasitic diseases,none,test
sequelae of respiratory and unspecified tuberculosis,none,test
sequelae of stroke not specified as haemorrhage or infarction,cerebrovascular disease,train
sequelae of subarachnoid haemorrhage,cerebrovascular disease,train
sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient or of later complication without mention of misadventure at the time of the procedure,none,train
sequelae of tuberculosis of bones and joints,none,train
sequelae of tuberculosis of other organs,none,train
sequelae of viral encephalitis,none,train
sequestration of lung,none,test
seronegative rheumatoid arthritis,none,test
seropositive rheumatoid arthritis unspecified,none,train
severe birth asphyxia,none,train
severe combined immunodeficiency [scid] with low or normal b-cell numbers,none,train
severe combined immunodeficiency [scid] with low t- and b-cell numbers,none,test
severe depressive episode with psychotic symptoms,none,train
severe depressive episode without psychotic symptoms,none,test
severe pre-eclampsia,none,train
sezary disease,none,train
shigellosis unspecified,none,train
shock therapy,none,train
shock unspecified,none,test
short rib syndrome,none,train
short stature not elsewhere classified,none,train
sialoadenitis,none,train
sicca syndrome [sjgren],none,test
sick sinus syndrome,none,train
sickle-cell anaemia with crisis,none,train
sickle-cell anaemia without crisis,none,train
sickle-cell trait,none,train
sideropenic dysphagia,none,train
siderosis,none,train
sinus fistula and cyst of branchial cleft,none,test
situs inversus,none,train
skeletal muscle relaxants [neuromuscular blocking agents],none,train
sleep apnoea,none,train
sleep disorder unspecified,none,train
slow fetal growth unspecified,none,test
small cell b-cell lymphoma,none,test
small for gestational age,none,test
small kidney bilateral,none,train
small kidney unilateral,none,train
small kidney unspecified,none,train
socialized conduct disorder,none,train
soft tissue disorder unspecified,none,test
solitary plasmacytoma,none,test
somatoform autonomic dysfunction,none,train
somatoform disorder unspecified,none,train
spasm of sphincter of oddi,none,train
spastic diplegic cerebral palsy,none,train
spastic hemiplegia,none,train
spastic hemiplegic cerebral palsy,none,train
spastic paraplegia,none,test
spastic quadriplegic cerebral palsy,none,train
spastic tetraplegia,none,train
special epileptic syndromes,none,train
specific disorder of arithmetical skills,none,train
specific isolated phobias,none,test
spina bifida occulta,none,train
spina bifida unspecified,none,test
spinal muscular atrophy unspecified,none,test
spinal stenosis,none,test
splenomegaly not elsewhere classified,none,train
spondyloepiphyseal dysplasia,none,train
spondylolisthesis,none,train
spondylolysis,none,train
spondylopathy unspecified,none,train
spondylosis unspecified,none,train
spontaneous abortion complete or unspecified with other and unspecified complications,none,test
spontaneous abortion complete or unspecified without complication,none,train
spontaneous ecchymoses,none,train
spontaneous rupture of other tendons,none,train
spontaneous rupture of unspecified tendon,none,test
spontaneous tension pneumothorax,none,train
stage i decubitus ulcer and pressure area from 2014 onwards,none,test
stage ii decubitus ulcer and pressure area from 2014 onwards,none,train
stage iii decubitus ulcer and pressure area from 2014 onwards,none,train
stage iv decubitus ulcer and pressure area from 2014 onwards,none,train
staphylococcal arthritis and polyarthritis,none,train
staphylococcal infection unspecified site,none,train
staphylococcal meningitis,none,train
status epilepticus unspecified,none,train
stenosis of anus and rectum,none,train
stenosis of aorta,none,test
stenosis of larynx,none,test
stenosis of pulmonary artery,none,train
streptococcal infection unspecified site,none,test
streptococcal meningitis,none,train
streptococcal pharyngitis,none,train
streptococcal sepsis unspecified,none,train
streptococcal tonsillitis,none,train
striatonigral degeneration,none,test
stricture and stenosis of cervix uteri,none,train
stricture of artery,none,train
strongyloidiasis unspecified,none,train
subacute cutaneous lupus erythematosus,none,train
subacute necrotizing myelitis,none,train
subacute osteomyelitis,none,train
subacute sclerosing panencephalitis,none,train
subarachnoid haemorrhage from anterior communicating artery,cerebrovascular disease,test
subarachnoid haemorrhage from basilar artery,cerebrovascular disease,train
subarachnoid haemorrhage from carotid siphon and bifurcation,cerebrovascular disease,train
subarachnoid haemorrhage from intracranial artery unspecified,cerebrovascular disease,train
subarachnoid haemorrhage from middle cerebral artery,cerebrovascular disease,test
subarachnoid haemorrhage from other intracranial arteries,cerebrovascular disease,train
subarachnoid haemorrhage from posterior communicating artery,cerebrovascular disease,train
subarachnoid haemorrhage from vertebral artery,cerebrovascular disease,train
subarachnoid haemorrhage unspecified,cerebrovascular disease,train
subcorneal pustular dermatitis,none,train
subcortical vascular dementia,cerebrovascular disease,test
subcutaneous phaeomycotic abscess and cyst,none,test
subdural haemorrhage acutenontraumatic,cerebrovascular disease,train
submucous leiomyoma of uterus,none,train
subsequent myocardial infarction of other sites,ischaemic heart disease,train
subsequent myocardial infarction of unspecified site,ischaemic heart disease,test
sudden cardiac death so described,none,train
sulfonamides,none,train
suppurative otitis media unspecified,none,test
supraventricular tachycardia,none,train
surgical operation with anastomosis bypass or graft,none,train
surgical operation with formation of external stoma,none,train
surgical operation with implant of artificial internal device,none,train
surgical operation with transplant of whole organ,none,test
surgical procedure unspecified,none,test
symptomatic neurosyphilis,none,train
syndrome of inappropriate secretion of antidiuretic hormone,none,train
synovial cyst of popliteal space [baker],none,train
syphilis unspecified,none,train
syringomyelia and syringobulbia,none,test
systemic antibiotic unspecified,none,train
systemic inflammatory response syndrome unspecified,none,test
systemic involvement of connective tissue unspecified,none,test
systemic lupus erythematosus unspecified,none,train
systemic lupus erythematosus with organ or system involvement,none,test
systemic sclerosis unspecified,none,train
temporomandibular joint disorders,none,train
tetracyclines,none,train
tetralogy of fallot,none,train
tetraplegia unspecified,none,train
thalassaemia trait,none,train
thalassaemia unspecified,none,test
thanatophoric short stature,none,train
thiamine deficiency unspecified,none,test
third-stage haemorrhage,none,train
thoracic aortic aneurysm ruptured,none,train
thoracic aortic aneurysm without mention of rupture,none,train
thoracic spina bifida with hydrocephalus,none,train
thoracic spina bifida without hydrocephalus,none,test
thoracoabdominal aortic aneurysm ruptured,none,train
thoracoabdominal aortic aneurysm without mention of rupture,none,train
thromboangiitis obliterans [buerger],none,train
thrombocytopenia unspecified,none,train
thrombolytic drugs,none,train
thrombotic microangiopathy,none,train
thyroid crisis or storm,none,train
thyroiditis unspecified,none,train
thyrotoxicosis unspecified,none,test
thyrotoxicosis with diffuse goitre,none,train
thyrotoxicosis with toxic multinodular goitre,none,train
tinea manuum,none,train
torsion of ovary ovarian pedicle and fallopian tube,none,train
torticollis,none,train
total anomalous pulmonary venous connection,none,train
toxic epidermal necrolysis [lyell],none,train
toxic erythema,none,train
toxic gastroenteritis and colitis,none,train
toxic liver disease unspecified,none,train
toxic liver disease with cholestasis,none,test
toxic liver disease with hepatic necrosis,none,train
toxic liver disease with hepatitis not elsewhere classified,none,train
toxic liver disease with other disorders of liver,none,test
